ドメイン名	ユースケース名	実装ステータス	テスト実装ステータス
Authentication	registerWithEmail	未実装	未実装
Authentication	registerWithSSO	未実装	未実装
Authentication	loginWithEmail	未実装	未実装
Authentication	loginWithSSO	未実装	未実装
Authentication	logout	未実装	未実装
Authentication	verifyEmail	未実装	未実装
Authentication	requestPasswordReset	未実装	未実装
Authentication	resetPassword	未実装	未実装
Authentication	createStaffAccount	未実装	未実装
Authentication	activateStaffAccount	未実装	未実装
Authentication	resendInvitation	未実装	未実装
Authentication	deleteAccount	未実装	未実装
Customer	createCustomer	未実装	未実装
Customer	updateCustomer	未実装	未実装
Customer	getCustomer	未実装	未実装
Customer	searchCustomers	未実装	未実装
Customer	createOrUpdatePersonalInfo	未実装	未実装
Customer	getPersonalInfo	未実装	未実装
Customer	createOrUpdateInterview	未実装	未実装
Customer	getInterview	未実装	未実装
Customer	getChangeHistory	未実装	未実装
Customer	deleteCustomer	未実装	未実装
Reservation	createReservation	未実装	未実装
Reservation	createReservationByStaff	未実装	未実装
Reservation	updateReservation	未実装	未実装
Reservation	updateReservationByStaff	未実装	未実装
Reservation	cancelReservation	未実装	未実装
Reservation	cancelReservationByStaff	未実装	未実装
Reservation	confirmArrival	未実装	未実装
Reservation	markAsNoShow	未実装	未実装
Reservation	getReservation	未実装	未実装
Reservation	getReservationsByCustomer	未実装	未実装
Reservation	getReservationsByDateRange	未実装	未実装
Reservation	getAvailableTimeSlots	未実装	未実装
Reservation	checkReservationConflict	未実装	未実装
Menu	createMenu	未実装	未実装
Menu	updateMenu	未実装	未実装
Menu	deleteMenu	未実装	未実装
Menu	getMenu	未実装	未実装
Menu	listMenus	未実装	未実装
Menu	checkMenuHasActiveReservations	未実装	未実装
Staff	createStaff	未実装	未実装
Staff	updateStaff	未実装	未実装
Staff	deleteStaff	未実装	未実装
Staff	getStaff	未実装	未実装
Staff	listStaff	未実装	未実装
Staff	createOrUpdateShift	未実装	未実装
Staff	getShift	未実装	未実装
Staff	getShiftsByDateRange	未実装	未実装
Staff	getStaffWorkingHours	未実装	未実装
Staff	checkStaffHasActiveReservations	未実装	未実装
Staff	checkShiftConflictsWithReservations	未実装	未実装
Store	createOrUpdateStore	未実装	未実装
Store	getStore	未実装	未実装
Store	createOrUpdateBusinessHours	未実装	未実装
Store	getBusinessHours	未実装	未実装
Store	createTemporaryClosure	未実装	未実装
Store	deleteTemporaryClosure	未実装	未実装
Store	getTemporaryClosures	未実装	未実装
Store	createOrUpdateReservationSettings	未実装	未実装
Store	getReservationSettings	未実装	未実装
Store	isStoreOpen	未実装	未実装
Store	getOpeningHours	未実装	未実装
Notification	sendReservationConfirmation	未実装	未実装
Notification	sendReservationUpdate	未実装	未実装
Notification	sendReservationCancellation	未実装	未実装
Notification	sendReservationReminder	未実装	未実装
Notification	sendEmailVerification	未実装	未実装
Notification	sendPasswordReset	未実装	未実装
Notification	sendStaffInvitation	未実装	未実装
Notification	sendAccountDeletion	未実装	未実装
Notification	resendNotification	未実装	未実装
Notification	getNotificationHistory	未実装	未実装
Notification	createOrUpdateTemplate	未実装	未実装
Notification	sendPendingReminders	未実装	未実装
